model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.8942675159235669,0.6431567435954889,5.07620985811925,797497
deepseek-v4-flash,0.1,0.8796992481203008,0.6019294478064444,5.858706772564892,796002
deepseek-v4-flash,0.2,0.8897243107769424,0.6083944280305662,7.204336086592352,795791
deepseek-v4-flash,0.3,0.8934010152284264,0.6403668908324492,4.664450558533232,796519
typhoon-v2.5,0.0,0.897908979089791,0.6117113296514908,0.9358746340550275,703603
typhoon-v2.5,0.1,0.9008567931456548,0.6132325546343803,0.8959113264463813,703793
typhoon-v2.5,0.2,0.8943488943488943,0.6164781659217461,0.953476001541928,703575
typhoon-v2.5,0.3,0.9030674846625767,0.6246018382607976,0.9273219911225763,704072
gemma-4,0.0,0.8974668275030157,0.6053800249881515,3.393839211102976,677254
gemma-4,0.1,0.8985507246376812,0.6098677395450773,3.976668014944312,679781
gemma-4,0.2,0.8972188633615478,0.610677614732532,3.6725297444370164,678985
gemma-4,0.3,0.8985507246376812,0.6080492150887753,3.9794094548282395,678668
